deleted_code,effective_date,replacement_codes
550111000000,2025-11-27,"[""550111000001"", ""550111009999""]"
550290000000,2025-11-27,"[""550290000001"", ""550290009999""]"
550311000000,2025-11-27,"[""550311000001"", ""550311009999""]"
701911000000,2025-11-27,"[""701911000001"", ""701911009999""]"
701912000000,2025-11-27,"[""701912000001"", ""701912009999""]"
701913000000,2025-11-27,"[""701913000001"", ""701913009999""]"
701914000000,2025-11-27,"[""701914000001"", ""701914009999""]"
701915000000,2025-11-27,"[""701915000001"", ""701915009999""]"
701919000000,2025-11-27,"[""701919000001"", ""701919009999""]"
701961000000,2025-11-27,"[""701961000001"", ""701961009999"", ""701990990000"", ""701990990001"", ""701990999999"", ""722410000001"", ""722410100001"", ""722410109999"", ""722410000002"", ""722410200001"", ""722410209999""]"
722599000000,2025-11-27,"[""722599000001"", ""722599009999""]"
722691000000,2025-11-27,"[""722691000001"", ""722691009999""]"
722692000000,2025-11-27,"[""722692000001"", ""722692009999""]"
722699000000,2025-11-27,"[""722699000001"", ""722699009999"", ""730451100000"", ""730451100001"", ""730451109999""]"
730490000000,2025-11-27,"[""730490000001"", ""730490009999"", ""730650100000"", ""730650100001"", ""730650109999"", ""730650200000"", ""730650200001"", ""730650209999"", ""730650300000"", ""730650300001"", ""730650309999""]"
730690000000,2025-11-27,"[""730690000001"", ""730690009999"", ""731100100000"", ""731100109999"", ""731100900000"", ""731100909999""]"
760421000000,2025-11-27,"[""760421000001"", ""760421009999"", ""760612100002"", ""760612100003"", ""760612100004"", ""760612200002"", ""760612200003"", ""760612200004"", ""760612300002"", ""760612300003"", ""760612300004"", ""760612400002"", ""760612400003"", ""760612400004"", ""760692100002"", ""760692100003"", ""760692100004"", ""760692200002"", ""760692200003"", ""760692200004""]"
760820000000,2025-11-27,"[""760820000001"", ""760820009999"", ""761300100000"", ""761300190000""]"
841350000000,2025-11-27,"[""841350009999""]"
841360000000,2025-11-27,"[""841360009999""]"
841382000000,2025-11-27,"[""841382009999""]"
841410000000,2025-11-27,"[""841410009999"", ""841480900000"", ""841480909999""]"
842619000000,2025-11-27,"[""842619009999""]"
842870000000,2025-11-27,"[""842870009999""]"
844590000000,2025-11-27,"[""844590009999""]"
844839000000,2025-11-27,"[""844839009999""]"
845611000000,2025-11-27,"[""845611009999""]"
845630000000,2025-11-27,"[""845630009999""]"
845811000000,2025-11-27,"[""845811009999""]"
845891000000,2025-11-27,"[""845891009999""]"
845931000000,2025-11-27,"[""845931009999""]"
845951000000,2025-11-27,"[""845951009999""]"
846012000000,2025-11-27,"[""846012009999""]"
846029000000,2025-11-27,"[""846029009999""]"
846190000000,2025-11-27,"[""846190009999""]"
846219000000,2025-11-27,"[""846219009999""]"
846229000000,2025-11-27,"[""846229009999""]"
847983000000,2025-11-27,"[""847983009999"", ""848180909999"", ""848180900003""]"
848280000000,2025-11-27,"[""848280009999""]"
848420000000,2025-11-27,"[""848420009999"", ""850440190000"", ""850440190001"", ""850440190002"", ""850440190005"", ""850440199999""]"
851411000000,2025-11-27,"[""851411009999""]"
851431000000,2025-11-27,"[""851431009999""]"
851432000000,2025-11-27,"[""851432009999"", ""852581900000"", ""852581900001"", ""852581900002"", ""852581900003"", ""852581909999""]"
854310000000,2025-11-27,"[""854310009999""]"
854320000000,2025-11-27,"[""854320009999""]"
854330000000,2025-11-27,"[""854330009999"", ""870380000003"", ""870380000005"", ""870380000006"", ""870380000007"", ""870380000008"", ""870380009999""]"
870899000000,2025-11-27,"[""870899100001"", ""870899100002"", ""870899100003"", ""870899100004"", ""870899100005"", ""870899900000""]"
890312000000,2025-09-15,[]
841340000000,2025-07-24,[]
730711000000,2025-06-01,"[""730711000001"", ""730711000002"", ""730711000003"", ""730711009999""]"
841311000000,2025-06-01,"[""841311000001"", ""841311000002""]"
910212000000,2025-06-01,"[""910212000001"", ""910212009999""]"
731300000000,2025-06-01,[]
731412000000,2025-06-01,[]
731414000000,2025-06-01,[]
731419000000,2025-06-01,[]
731420000000,2025-06-01,"[""731431000001"", ""731431000002""]"
731439000000,2025-06-01,[]
731441000000,2025-06-01,[]
731442000000,2025-06-01,[]
731449000000,2025-06-01,[]
731450000000,2025-06-01,"[""731700200000"", ""731700300000"", ""731700400000"", ""731700900000"", ""731813000002"", ""741510000001"", ""741510000002"", ""741510009999"", ""750890300001"", ""761610000001"", ""790700500000"", ""853080009999""]"
853010000000,2025-06-01,[]
880790000000,2025-06-01,"[""903040009999"", ""903040000003"", ""903040000001""]"
